headword,pos,supplement,entry,meaning,ipa,example_sentence,translated_sentence
,,,such,"《特定の種類・程度を示して》こんな,あんな / 《類似の種類・程度を示して》そんな,そのような / 《名詞の前にのみ用いて》とても / 《補語にのみ用いて》そのような",/sʌtʃ/,I have never seen such a beautiful sunset before.,私はこんな美しい夕日を見たことがありません。
,,,indication,"〈U〉《...を》指摘すること, 表示すること《of ...》 / 〈U/C〉表れ, 徴候, 兆し",/ˌɪndɪˈkeɪʃən/,The doctor gave me an indication of how long my recovery would take.,医者は私に回復にどれくらい時間がかかるかの指摘をしました。
,,,fund,"【名/C】《特定の目的のための》資金, 基金《for ...》 / 《a ~》(すぐに役立つ知職などの)蓄え,蓄積 / 【動/他】〈事業・研究など〉に資金を提供する / 〈負債〉を長期公債にする",/fʌnd/,I need to raise funds for my new business venture.,新しいビジネスベンチャーのために資金を集める必要があります。
,,,statement,【名】声明；供述,/ˈsteɪtmənt/,He made a statement to the police about the incident.,彼は警察にその事件についての声明をした。
,,,morning,"〈C〉〈U〉朝,午前(午前0時または夜明けから正午まで)  / 〈U〉《the~》(物事の)始まり,夜明け,黎明(れいめい)《+of+名》  / 《名詞の前にのみ用いて》朝の",/'mɔːrnɪŋ/,The morning sun was so beautiful.,朝日が美しかった。
,,,rural,"田舎の, 農村の / 田舎風の / 農業の",/ˈrʊərəl/,I grew up in a rural area surrounded by fields and farms.,私は田舎の畑や農場に囲まれた地域で育ちました。
,,,folk,【名/C】《米・しばしば複数形で》 人々 / 《話》 《one's ~》 家族 / 《古》民族 / 《話》《呼び掛けに用いて》皆さん / 【形】民俗の / 民衆の,/fəʊk/,Folk music is a genre that originated in traditional cultures.,フォーク音楽は伝統的な文化で生まれたジャンルです。
,,,hundred,"【名/C】(数の) 100 / 《複数形で》何百《もの…》, 多数《の…》 《of ...》 / 《米話》100ドル /《英話》100ポンド / 【形】100の / 《a ~》数多くの",/ˈhʌn.dɹəd/,There are a hundred people in the room.,部屋には百人います。
,,,inform,"《...を》〈人〉に知らせる《of ...》 / 《...の》情報を提供する, 《...を》密告する《on, upon, against ...》",/ɪnˈfɔrm/,I will inform him of the meeting.,私は彼に会議のことを知らせます。
,,,otherwise,"【副】ほかの点では / そうでなければ, さもないと / 別の方法で / 【形】別の, 異なった",/ˈʌðɚˌwaɪz/,"I don't like spicy food, but otherwise, I enjoy trying new dishes.",辛い食べ物は好きではありませんが、ほかの点では新しい料理を試すのが楽しいです。
,,,judgment,"【名/U】判断力 / 【名/U/C】判断, 判定 / 判決 / 【名/C】《判断に基づく》 見解 《on ...》　裁判",/ˈdʒʌdʒ.mənt/,,
,,,department,"〈C〉(政府・会社・学校などの組織の) 部門 / 《英》(官庁の)局 / (フランスなどの) 県,州",/dɪˈpɑːrtmənt/,The marketing department is responsible for promoting the company's products.,マーケティング部門は、会社の製品の宣伝を担当しています。
,,,external,"外側の, 外部の / (作用・動作などが) 外側からの",/ɪkˈstɜːrnəl/,The external walls of the building are made of glass.,建物の外壁はガラス製です。
,,,maintain,"【動/他】〈ある状催・動作〉を維持する, を続ける / を主張する / 〈家族など〉を扶養する",/mənˈteɪn/,It is important to maintain a healthy lifestyle.,健康な生活を維持することは重要です。
,,,photograph,【名】写真；【動】写真を撮る,/fəˈtɑːɡrɑːf/,I love to photograph beautiful landscapes.,私は美しい風景を撮影するのが大好きです。
,,,section,"【名/C】(全体を構成する個々の) 部分,部品 / (内部構造を示す)断面図 / 【名/U】切断すること / 【動/他】を区分する / の断面をつくる",/ˈsɛkʃən/,This book is divided into 10 sections.,この本は１０つのセクションに分かれている。
,,,nevertheless,それでもやはり / それにもかかわらず,/nɛvərðəˈlɛs/,"She was tired; nevertheless, she continued working.",彼女は疲れていた。それにもかかわらず、彼女は仕事を続けた。
,,,remote,遠い、遠隔の、離れた、かすかな、わずかな,/rɪˈmoʊt/,The lighthouse was just a remote speck in the distance.,灯台は遠くのかすかな点だけでした。
,,,trillion,【名/C】(アメリカ・フランスでは) 兆 / (イギリス・ドイツでは)100京 / 《くだけて》無数,/'trɪljən/,The company's revenue reached a trillion dollars last year.,会社の収益は昨年、1兆ドルに達しました。
,,,agricultural,"【形】農業の, 農耕の, 農学の",/ˌæɡrɪˈkʌltʃərəl/,The agricultural sector plays a vital role in the country's economy.,農業部門は、国の経済において重要な役割を果たしています。
,,,precise,"正確な, 的確な / 《名詞の前にのみ用いて》まさにその / (必要量などに)ちょうどの / (人,考え・規則などか)厳格な",/pɹɪˈsaɪs/,He gave a precise answer to the question.,彼は質問に正確な答えをした。
,,,elderly,"【形】年配の,初老の / 《the ~》年配の人たち",/ˈɛldərli/,The elderly couple enjoys taking walks in the park every morning.,年配の夫婦は毎朝公園で散歩を楽しんでいます。
,,,impose,"《...に》 (重荷・税金など)を課する, を負わせる《on, upon ...》 / (考えなど)を押しつける,を強いる《on, upon ...》 / 《...に》つけこむ, 甘える《on, upon ...》",/ɪmˈpoʊz/,The government plans to impose new taxes on high-income earners.,政府は高所得者に新たな税金を課す予定です。
,,,live,"【形】《名詞の前にのみ用いて》生きている / 活気のある / (問題などが)当面の / 燃えている / (弾丸などが)まだ爆発してない,未発の / まだ動いている,有効な / 電流が通じている / (放送が)生の,実況の",/lɪv/,I live in a small town.,私は小さな町に住んでいます。
,,,mature,【形】成熟した / 【動/自】成熟する / 【動/他】…を成熟させる,/məˈtʃʊr/,She is a mature and responsible adult.,彼女は成熟した責任感のある大人です。
,,,province,"【名/C】(国の行政区画としての)州,省,県 / 【名/U】(権威・責任などの及ぶ)範囲, (学問・活動などの)領域,分野 / 《the ~s》(首都・大都市に対して) 地方,いなか",/prɑːvɪns/,He moved to a small province to escape the busy city life.,彼は忙しい都会の生活を逃れるために小さな州に引っ越しました。
,,,smooth,"【形】(表面が) なめらかな, 平らな / 【動/他】をなめらかにする",/smʊð/,Her skin is smooth and flawless.,彼女の肌は滑らかで完璧です。
,,,expert,"【名/C】《...の》専門家, 熟練者《at, in, on ...》 / 【形】(特定の知識・技術に)熟達した, 熟練の / 専門家の",/ɪkˈspɜːrt/,He is an expert in his field.,彼は自分の分野のエキスパートです。
,,,broad,幅の広い / 広大な / 寛大な / 広範囲にわたる,/brɔːd/,She has a broad knowledge of various subjects.,彼女はさまざまな科目について幅広い知識を持っています。
,,,additional,"付け加えた,追加の;特別の",/əˈdɪʃənəl/,I need to make an additional comment on the report.,私はレポートに追加のコメントを付け加える必要があります。
,,,previous,"《名詞の前にのみ用いて》前の, 先の, 以前の / 《補語にのみ用いて》《話》早まった,せっかちすぎる",/pɹiːviəs/,The previous owner of the house left behind some furniture.,その家の前の所有者が家具を残していった。
,,,throat,"〈C〉(気管・食道部分としての) のど / のど状の物, (容器などの)首",/θroʊt/,I have a sore throat.,私はのどが痛いです。
,,,currency,"【名/C/U】通貨, 貨幣 / 【名/U】流通, 普及",/ˈkɜːrənsi/,I need to exchange my currency for euros.,私は通貨をユーロに両替する必要があります。
,,,stare,"【動/自】《...を》じっと見つめる《at, into ...》 / 【動/他】をじっと見つめる, を凝視する / 【名/C】じっと見つめること, 凝視",/stɛr/,She stared at him in disbelief.,彼女は驚きで彼をじっと見つめた。
,,,throughout,"【前】《期間》…じゅうずっと /  《場所》…の至る所に / 【副】全く, どこもかも / 《期間》始めから終りまでずっと, 終始",/θruːˈaʊt/,She worked hard throughout the day.,彼女は一日中一生懸命働きました。
,,,muscle,"〈U〉(動物体の組織としての)筋肉,筋(きん);〈C〉(体の各部を動かす)筋肉  / 〈U〉力,(特に)筋力,腕力  / 《俗に》(…に)強引に割り込む《+in on(into, through)+名》",/ˈmʌsəl/,He has strong muscles from working out regularly.,彼は定期的にトレーニングをしているので、筋肉が強いです。
,,,musician,"音楽家,楽士  / 《おもに英》作曲家",/mjuˈzɪʃən/,The musician played a beautiful melody on the piano.,ピアニストは美しい旋律を弾いた。
,,,bus,バス  / …'を'バスで運ぶ  / バスで行く,/bʌs/,I will take the bus to school.,学校へはバスに乗るつもりです。
,,,potentially,"潜在的に, 可能性を秘めて",/pəˈtɛnʃəli/,He is potentially the best candidate for the job.,彼は最高の候補者である可能性がある。
,,,replace,【動】取り替える；取って代わる；戻す、買い換える,/rɪˈpleɪs/,I need to replace the broken light bulb.,壊れた電球を取り替える必要があります。
,,,series,【名/C】(関連のあるもの・同種のものの) 連続 / (同種の貨幣・切手などの)一組 / (テレビ番組などの)連続物 / (電気の)直列,/ˈsɪəriːz/,I am currently watching a series on Netflix.,私は現在、Netflixでシリーズを視聴しています。
,,,stability,"【名/U】安定, 安定性 / (人・意志などの)着実,強固,不変",/stəˈbɪləti/,The stability of the economy is crucial for the country's development.,経済の安定は国の発展にとって重要です。
,,,staff,"【名/C】つえ / 支えとなるもの / 《集合的に》職員,社員 / 【動/他】...に職員を置く",/stæf/,The staff at the hotel were very helpful and friendly.,ホテルのスタッフはとても親切でフレンドリーでした。
,,,text,【名】原文；本文；教科書；(議論・演説などの)主題、題目,/tɛkst/,The text of the book is written in a clear and concise manner.,この本の原文は明確で簡潔に書かれています。
,,,neighbor,"【名/C】隣人, 近所の人 / 同胞, 仲間 / 【動/自】《...に》隣接する《on ...》",/ˈneɪ.bər/,My neighbor is a friendly person.,私の隣人は親切な人です。
,,,myself,"《強意用法》《Iと同格に用いて》私自身  / 《再帰用法》《動詞・前置詞の目的語として》私自身を(に),自分を(に)",/maɪˈsɛlf/,I can take care of it myself.,私自身でそれを処理できます。
,,,steel,"【名/U】鋼鉄 / 【名/U/C】鋼鉄製品  / 【動/他】(鋼鉄のように)〈心〉をかたくなにする, を冷酷にする",/stiːl/,The construction of the building required a lot of steel.,建物の建設にはたくさんの鋼鉄が必要でした。
,,,yard,"〈C〉ヤード(長さの単位で3フィート,約91.4センチ) / (日本で布を測るときの)ヤール / (特に建築業で)1立方ヤード",/jɑːrd/,The kids are playing in the yard.,子供たちは庭で遊んでいます。
,,,agenda,"会議事項,議事日程;備忘録",/əˈdʒɛndə/,Please make sure to review the agenda before the meeting.,会議前に必ず議題を確認してください。
,,,repair,"【動/他】…を修繕する, を修理する / …を償う /  【名/U】修繕, 修理",/rɪˈpɛər/,I need to repair my car.,私は車を修理する必要があります。
,,,subsequent,"(時間・順序,位置などについて)後の, 次の / (結果として)続いて起こる",/səbˈsɛkwənt/,The subsequent events were unexpected.,その後の出来事は予想外でした。
,,,rear,"【名/C】(ある物の)背後, 後方 / (ある物の)後部 / (軍・艦隊などの)最後尾,後衛 / 【形】後方の / 後部の",/ɹɪər/,I looked in the rearview mirror to check for any cars behind me.,私は後ろを見るためにバックミラーを見ました。
,,,numerous,"非常に多い,多数の(very many)  / 多数から成る(を含む)",/ˈnuːmərəs/,There are numerous books in the library.,図書館には非常に多くの本があります。
,,,supply,"【動/他】《...に》〈不足物・必要物〉を供給する《to, for ...》 / 《...を》〈人・物〉に供給する《with ...》 / 【名/U】《...の》供給 《of ...》 / 【名/C】《単数形で》《...の》供給量, 在庫量《of ...》",/səˈplaɪ/,The company is responsible for the supply of goods to the stores.,会社は店舗への商品供給を担当しています。
,,,tip,"【名/C】チップ, 心付け,祝儀 / 《...に関する ...からの》内報, 秘密情報《for, on ... from ...》 / 《...についての》ヒント, 助言《on ...》 / 【動/他】...にチップをやる / 《...について》〈人〉に内報する《~ off ... about ...》 / 【動/自】チップをやる",/tɪp/,Here's a helpful tip: always double-check your work before submitting it.,ここに役立つヒントがあります：提出する前に常に作業をダブルチェックしてください。
,,,wound,"【名/C】(身体の) 傷,負傷 / 《感情・自尊心などに対する》 痛手《to ...》 / 【動/他】を負傷させる / 〈感情など〉を傷つける",/waʊnd/,She had a deep wound on her leg.,彼女は脚に深い傷を負っていた。
,,,mean,"〈人が〉…を意図する, ...のつもりである / 〈単語・句・文章などが〉…を意味を持つ, を意味する",/miːn/,What do you mean?,何を意味していますか？
,,,athlete,"競技者,運動家;強壮な人;《英》陸上競技選手",/ˈæθ.liːt/,The athlete trained hard every day to improve his performance.,その競技者は、パフォーマンスを向上させるために毎日厳しくトレーニングしていました。
,,,ourselves,"《強意用法》《weと同格に用いて》私たち自身,自分たちみずから  / 《再帰用法》《動詞・前置詞の目的語として》私たち自身を(に),自分たちを(に)  / 《まれ》《おもにthan,butなどの後でweの代用として》我々,私たち",/ɑːrˈsɛlvz/,We should believe in ourselves and our abilities.,私たちは自分自身と自分の能力を信じるべきです。
,,,car,"自動車(automobile)電車(streetcar)  / 《米》(鉄道の)車両;客車,貨車  / (気球などの)かご;(エレベーターの)箱",/kɑr/,I bought a new car.,私は新しい車を買った。
,,,partnership,"〈U〉提携,協力  / 〈U〉組合契約;〈C〉合名会社",/pɑːtnərʃɪp/,The two companies formed a partnership to expand their market reach.,2つの会社は市場拡大のために提携を結んだ。
,,,passenger,"〈C〉乗客, 旅客 / 《英話》足手まといな人",/ˈpæsən(d)ʒər/,The passenger boarded the plane.,乗客が飛行機に乗りました。
,,,percentage,"百分率,割合  / 《複数形で》見込み,確率",/pərˈsɛntɪdʒ/,The percentage of students who passed the exam is 80%.,試験に合格した学生の割合は80％です。
,,,perfectly,"完全に,申し分なく  / 全く,すっかり",/pərˈfɛktli/,She perfectly executed the dance routine.,彼女は完全にダンスのルーティンを実行しました。
,,,lip,"〈C〉くちびる,口もと  / 《複数形で》(発音器官としての)くちびる,口  / 〈U〉《俗》生意気な言葉  / 〈C〉(容器などの)口,へり,縁;(峡谷・火山などの)口  / 〈C〉(植物の)唇弁(しんべん)",/lɪp/,She applied a coat of lipstick to her lips.,彼女はくちびるに口紅を塗った。
,,,poet,"詩人,歌人  / 詩的才能のある人",/poʊɪt/,The poet wrote beautiful verses that touched the hearts of many.,その詩人は多くの人々の心に触れる美しい詩を書いた。
,,,winner,"勝利者,優勝者;(競馬の)勝ち馬  / 受賞者  / うまくいくもの(こと),期待できるもの(こと)",/'wɪnər/,She was declared the winner of the competition.,彼女は競技の勝利者と宣言されました。
,,,monthly,"月1回の,毎月の,月ぎめの  / 1か月間の,1か月続く  / 月1回,毎月  / 月刊雑誌",/'mʌnθli/,I have a monthly meeting with my team.,私はチームと月1回のミーティングを持っています。
,,,nothing,"何も…ない(not anything ,no thing)  / 少しも…でない  / 〈C〉《単数形で》重用でないこと(人),取るに足りない人  / 〈U〉ゼロ",/ˈnʌθɪŋ/,There's nothing I can do.,私にできることは何もない。
,,,once,"(ただ)1度,1回  / かつて,以前  / 《否定文で》一度も(…しない);《条件節で》いったん…すれば  / 1度,1回  / いったん…すれば,…するとすぐに",/ wʌns /,"Once I got on the train, I felt relieved.",電車に乗ったら、安心しました。
,,,pick,"【動/他】を選ぶ；を摘む,もぎ取る；つまみとる【自】つつく；精選する",/pɪk/,He picked up the pen from the desk.,彼は机からペンを拾い上げた。
,,,service,【名/U/C】奉仕；公共事業【U】職員業務；サービス；役立つこと【動/他】を修理点検する；にサービスを提供する【形】サービスの,/'sɜːrvɪs/,The customer service at this restaurant is excellent.,このレストランのサービスは素晴らしいです。
,,,powerful,【形】強力な / 効果的な / 有力な,/paʊərfl/,She has a powerful voice.,彼女は力強い声を持っています。
,,,release,"【動】解放する； 公開する，発表する； 【名】解放, 釈放",/rɪˈliːs/,The company plans to release a new product next month.,会社は来月新製品を発売する予定です。
,,,repeat,"〈自分がすでに一度言ったこと)‘を'繰り返して言う  / 〈他人の言ったこと〉‘を'おうむ返しに言う;…‘を'他の人に繰り返して言う  / …‘を'暗記して言う,暗唱する  / …‘を'繰り返して行う(do again)  / (食べたあとで)〈食物の〉味が残る  / 〈小数が〉循環する  / 繰り返すこと,反復すること  / 繰り返されるもの,(公演の)再演;(番組の)再放送  / 反復楽節;反復記号(∥: :∥)",/rɪˈpiːt/,I will repeat the same question again.,同じ質問をもう一度繰り返します。
,,,score,"(ゲーム・競技の)スコア,得点記録  / (ゲーム・競技の)得点  / (試験の)点数,評点  / 《おもに文》20[の単位]  / 《複数形で》多数(の…)《+of+名》  / 《まれ》勘定,借金  / 《単数形で》理由,根拠,原因  / (またscore mark)刻み目,線,印  / 総譜,楽譜  / (ゲーム・競技で)〈点数〉‘を'得点する  / 〈競技〉‘の'得点を記録する  / 〈得点〉‘を'〈人〉‘に'与える《+名〈人〉+名〈得点〉=+名〈得点〉+to(for)+名〈人〉》  / 〈試験〉‘を'採点する;(試験で)…‘の'点をとる《+名+on+名》  / (…で)…‘に'刻み目(印)をつける,線をひく《+名+with+名》 ",/skɔr/,score the surface of the meat with a knife,肉の表面にナイフで線を付ける
,,,pregnancy,〈U〉〈C〉妊娠の状態(期間)  / 〈U〉《文》含蓄,/prɛɡnənsi/,She is experiencing a healthy pregnancy.,彼女は健康な妊娠を経験しています。
,,,season,"季,季節(春夏秋冬の4季節のそれぞれ)  / (一年のうちの,ある気候の)時季,時節  / (果物などの)出盛り,(…の)盛んな時期  / (一般に)時節,時期 / 《…に》ふさわしい時,《…の》好期《for ...》",/siːzən/,I love the autumn season.,私は秋の季節が大好きです。
,,,seed,"〈U〉〈C〉種,種子  / 〈C〉《複数形で》(物事・事件などの)原因,根源,種  / 〈U〉(聖書で)子供たち,子孫  / 〈土地〉‘に'種をまく,まく;(…を)…‘に'まく《+名+with+名》  / 〈果物など〉‘の'種を除く  / 〈チーム・競技者など〉‘を'シードする  / (人工雨を降らすため)〈雲〉‘に'ドライアイス(その他の化学薬品)を散布する  / 〈植物が〉種(実)を生ずる;種(実)を落とす",/siːd/,She planted the seed in the garden.,彼女は庭に種を植えました。
,,,printer,印刷する人(機械);印刷屋  / (コンピューターの)文字打ち出し機　プリンター,/ˈprɪntər/,I need to buy a new printer for my office.,オフィス用に新しいプリンターを買わなければなりません。
,,,producer,"生産者;産出地  / (劇・映画などの)製作者,プロデューサー",/prəˈdjuːsər/,The producer is responsible for overseeing the manufacturing process.,生産者は製造プロセスの監督を担当しています。
,,,snap,"パチン(ポキン,カチッ,ピシッ)と音をたてる・〈木の枝などが〉ポキッと折れる,〈糸などが〉プツンと切れる・〈戸・ふた・カギなどが〉パチン(カチッなど)と音をたてて(…の状態に)なる《+形〈補〉》・(…に)ぱくっとかみつく《+at+名》・…‘を'パチン(ピシッ)と音をさせる・…‘を'ポキッと折る,プツンと切る;…‘を'パチッと締める・〈命令・応答など〉‘を'ピシッと言う《+out+名,+名+out》・《話》〈スナップ写真〉‘を'撮る・〈C〉ポキッと折れる音,プツンと切れる音;ビシャッと閉まる音・〈C〉(衣服などの)スナップ,留め金  / 〈C〉ぱっと飛びつくこと(かみつくこと,ひっつかむこと) ・〈C〉(急に襲う)一時の寒気・〈C〉(薄くてぱりぱりとした)ショウガ入りクッキー・=snapshot・〈U〉《話》活気,精力・〈C〉《単数形で》《話》容易なこと,楽な仕事・《話》即座の,急になされた・《話》容易な,楽な・どんぴしゃり,バッチリ",/snæp/,I heard a loud snap when I broke the pencil.,鉛筆を折った時に大きなパチンという音が聞こえました。
,,,promote,"…‘を'助長する,促進する,増進する  / (…に)…‘を'昇進させる,進級させる《+名+to+名》  / 〈議案など〉‘を'通過するように努力する  / 〈会社・事業〉‘を'発起する;〈興業〉‘を'主催する  / 〈商品など〉‘の'販売促進をする",/prəˈmoʊt/,Social media can promote the spread of information.,ソーシャルメディアは情報の拡散を助長することができます。
,,,spirit,"〈U〉精神,心  / 〈C〉(超自然の)霊魂,霊;幽霊,妖精  / 〈C〉《形容詞を伴って》(ある気資・性格をもった)人  / 〈U〉元気,活気  / 〈U〉《時にa ~》気立て,気質;意気,気概  / 《複数形で》気分,きげん  / 〈U〉(団体などに対する)忠誠心,献心  / 〈C〉(全体に流れる)傾向,風潮  / 〈U〉《the ~》(法などの)精神  / 《複数形で》アルコール;強い酒  / (こっそりと)〈人〉‘を'連れ去る,〈物〉‘を'持ち去る《+名+away(off),+away(off)+名》",/'spɪrɪt/,She has a strong spirit.,彼女は強い精神を持っています。
,,,convert,"【動/他】〖~ A into [to] B〗AをBに変える,転換する【動/自】変わる,転換する【名】改宗者；転向者",/kənˈvɜrt/,I need to convert the file to a different format.,ファイルを別の形式に変換する必要があります。
,,,warm,"【形】暖かい；思いやりのある；興奮した；暖色の；生々しい【動/他】を暖める；を活気づける【動/自】暖まる；活気づく；優しくなる【名】《a~》暖まること,《the~》暖かい場所【副】暖かく",/wɔrm/,The warm sun was shining through the window.,太陽が窓を通して暖かく輝いていた。
,,,part,"【名/C】(全体を構成する) 部分 / 【名/U】《しばしばa ...》《…の》一部, 一部分《of ...》 / 【名/C】(仕事などの)役目 / 【動/自】(二つ以上の部分に) 分かれる / 別れる",/pɑːrt/,I need you to be a part of this project.,このプロジェクトの一部として参加してもらいたい。
,,,childhood,"幼時,子供時代",/ˈtʃaɪldhʊd/,I have many fond memories from my childhood.,私は幼時の多くの思い出があります。
,,,publication,"〈U〉(書籍・雑誌などの)出版,発行《+of+名》  / 〈C〉出版物(書籍,雑誌,新聞など)  / 〈U〉(…の)公表,発表《+of+名》",/pʌblɪˈkeɪʃən/,The publication of her new book was eagerly anticipated by her fans.,彼女の新しい本の出版は、彼女のファンに熱望されていました。
,,,quietly,静かに  / 穏やかに  / じみに,/'kwaɪətli/,"She sat quietly in the corner, reading her book.",彼女は静かに角に座って、本を読んでいた。
,,,competitor,"競争者,競争相手,競合他社",/kəmˈpɛtɪtər/,She is a tough competitor in the business world.,彼女はビジネス界で厳しい競争者です。
,,,completely,"完全に,全く,十分に",/kəmˈpliːtli/,I completely forgot about our meeting.,私は完全に私たちの会議を忘れてしまった。
,,,symptom,"〈C〉(病気の) 症状, 兆候 / 《...の》きざし, 印《of ...》",/'sɪmptəm/,He experienced a symptom of the disease.,彼はその病気の症状を経験した。
,,,relative,"【形】比較上の,(他と)比べての；相対的で；関係のある；対応した【名】親戚；関係詞",/'ɹɛlətɪv/,My relative lives in another country.,私の親戚は別の国に住んでいます。
,,,tape,"〈U〉(細長い紙・布などの荷造り用)テープ,ひも  / 〈C〉(決勝線用の)テープ  / =tape measure  / 〈C〉〈U〉録音用テープ  / =tape recording  / =tape measure  / …‘を'テープをくくる,テープをくっつける  / =tape-record  / …‘を'巻き尺で測る  / 《しばしば受動態で》《米》…‘に'包帯をする(《英》strap)  / =tape-record",/teɪp/,I used tape to wrap the gift.,私は贈り物を包むためにテープを使いました。
,,,resist,"《通例否定文で》…‘を'こらうる,がまんする  / …‘に'抵抗する,反抗する  / …‘の'作用に耐える,‘に'影響されない・抵抗する,耐える・何かの作用を食い止める物;防腐剤,防染剤・絶縁塗料",/rɪˈzɪst/,She tried to resist the temptation to eat the chocolate cake.,彼女はチョコレートケーキを食べる誘惑に抵抗しようとした。
,,,reveal,"〈秘密・事実など〉を明らかにする, を暴く / 〈隠されていた物〉を現す, を見せる",/rɪˈviːl/,The detective will reveal the truth at the end of the movie.,探偵は映画の最後に真実を明らかにするでしょう。
,,,risk,"危険;危害(損害)を受ける可能性《+of+名(doing)》  / 〈生命など〉‘を'危険にさらす  / …‘を'危険(失敗,損失など)を覚悟してする",/rɪsk/,Investing in stocks carries a certain level of risk.,株式投資には一定のリスクが伴います。
,,,yellow,"黄色の / 皮膚の黄色い / 《俗》おく病な(cowardly) / (新聞が)センセーショナルな,扇情的な",/jɛloʊ/,The sunflower is a beautiful yellow flower.,ひまわりは美しい黄色の花です。
,,,sad,"(人が)悲しい  / (表情などが)悲しそうな;(物事が)悲しむ  / べき,残念な  / 《名試の前にのみ用いて》ひどい,みじめな,貧習な  / (色が)くすんだ",/sæd/,The girl was sad when her best friend moved away.,彼女の親友が引っ越してしまった時、女の子は悲しんでいた。
,,,December,12月({略}Dec.),/dɪˈsɛmbər/,I'm looking forward to December.,12月が楽しみです。
,,,despite,〜にもかかわらず,/dɪˈspaɪt/,"Despite the rain, we still went for a walk.",雨にもかかわらず、私たちは散歩に行きました。
,,,physical,"身体の,肉体の(bodily)  / 《名詞の前にのみ用いて》物質の(material);自然[界]の  / 《名詞の前にのみ用いて》物理学の,物理的な;自然科学の  / 身体検査(physical examination)",/fɪzɪkəl/,Regular exercise is important for maintaining good physical health.,定期的な運動は良い身体の健康を維持するために重要です。
,,,population,"〈U〉〈C〉人口,住民の数  / 《the~》《集合的に》(一定地域の)全体民  / 《the~》(特定階層の)人々,連中  / 〈U〉〈C〉(一定の区域内にいる)動植物の個体数",/pɒpjʊˈleɪʃ(ə)n/,The population of the city has been steadily increasing over the years.,その都市の人口は年々着実に増加しています。
,,,potato,〈C〉〈U〉ジャガイモ  / (またpotato plant)〈C〉ジャガイモをつける植物  / 〈C〉〈U〉《おもに米》サツマイモ(sweet potato),/pəˈteɪ.toʊ/,I made mashed potatoes for dinner.,夕食にマッシュポテトを作りました。
,,,hot,"熱い, 暑い /  (味が)辛い,ひりひりする  / (気性などの)激しい / (気分・感情などの)高ぶった, 興奮した([[excited)]]) / (状態や動きが)激しい([[violent]])   / (ニュースなどが)新しい, 発表されたばかりの / 《話》(商品などが)人気のある,売れる",/hɑt/,The coffee is too hot to drink.,コーヒーは飲むには熱すぎます。
,,,sexual,"性の,男女(雌雄)の  / 有性生殖の",/'sɛksjuəl/,Sexual education is important for young adults.,若者にとって性教育は重要です。
,,,imagination,"〈U〉〈C〉想像,空想  / 〈U〉《話》想像の産物,空想的な考え,気の迷い  / 〈U〉創作力,創意",/ɪˌmædʒɪˈneɪʃən/,She has a vivid imagination.,彼女は豊かな想像力を持っています。
,,,immediate,"即座の,即時の, すぐの, 早急な / 当面の, 当座の / (時間・空間的に)すぐ近くの  / 直接の,じかの([[direct]])",/ɪˈmi.di.ət/,I need your immediate response to this matter.,この件については早急な対応が必要です。
,,,sheep,"羊  / 気の弱い人,人に引きずられやすい人",/ʃiːp/,The farmer has a lot of sheep.,農夫はたくさんの羊を持っている。
